date,open,high,low,close,volume,SMA50,SMA200,dist_SMA50,dist_SMA200,SMA50_over_SMA200,slope_SMA50,slope_SMA200,GC_signal,RSI28,ROC90,ROC120
2012-01-13 14:30:00,128.64,129.05,127.72,128.84,179836128,,,,,,,,0,,,
2012-01-17 14:30:00,130.08,130.32001,128.89571,129.34,132209184,,,,,,,,0,,,
2012-01-18 14:30:00,129.31,130.84,129.08,130.77,163395120,,,,,,,,0,,,
2012-01-19 14:30:00,131.22,131.57001,130.8,131.46001,126328816,,,,,,,,0,,,
2012-01-20 14:30:00,131.24001,131.95,130.92,131.53999,138230128,,,,,,,,0,,,
2012-01-23 14:30:00,131.50999,132.25,130.98,131.61,129295744,,,,,,,,0,,,
2012-01-24 14:30:00,130.8,131.5,130.60001,131.46001,103083248,,,,,,,,0,,,
2012-01-25 14:30:00,131.25999,132.87,130.75,132.56,198613184,,,,,,,,0,,,
2012-01-26 14:30:00,133.14999,133.39999,131.36,131.88,184880496,,,,,,,,0,,,
2012-01-27 14:30:00,131.24001,132.05,131.14999,131.82001,135259056,,,,,,,,0,,,
2012-01-30 14:30:00,130.50999,131.44,130.06,131.37,147311744,,,,,,,,0,,,
2012-01-31 14:30:00,132.02,132.17999,130.67999,131.32001,157211936,,,,,,,,0,,,
2012-02-01 14:30:00,132.28999,133.14,132.13,132.47,166234432,,,,,,,,0,,,
2012-02-02 14:30:00,132.73,133.02,132.21001,132.67999,113090368,,,,,,,,0,,,
2012-02-03 14:30:00,134.0,134.62,133.77,134.53999,160598496,,,,,,,,0,,,
2012-02-06 14:30:00,133.98,134.5134,133.83,134.45,107694432,,,,,,,,0,,,
2012-02-07 14:30:00,134.17,135.02,133.64,134.78999,135528064,,,,,,,,0,,,
2012-02-08 14:30:00,134.86,135.22,134.31,135.19,139361376,,,,,,,,0,,,
2012-02-09 14:30:00,135.41,135.59,134.56,135.36,148602816,,,,,,,,0,,,
2012-02-10 14:30:00,134.16,134.47,133.84,134.36099,167907504,,,,,,,,0,,,
2012-02-13 14:30:00,135.32001,135.52,134.74001,135.36,115841808,,,,,,,,0,,,
2012-02-14 14:30:00,135.0,135.27,134.25,135.19,165996128,,,,,,,,0,,,
2012-02-15 14:30:00,135.63,135.83,134.28999,134.56,195195120,,,,,,,,0,,,
2012-02-16 14:30:00,134.57001,136.17,134.33,136.049,186567744,,,,,,,,0,,,
2012-02-17 14:30:00,136.52,136.6275,135.96001,136.41,129869376,,,,,,,,0,,,
2012-02-21 14:30:00,136.73,137.05,136.05,136.47,134042256,,,,,,,,0,,,
2012-02-22 14:30:00,136.25999,136.55,135.78999,136.032,124455248,,,,,,,,0,,,
2012-02-23 14:30:00,135.96001,136.73,135.5,136.631,137704256,,,,,,,,0,75.58627411828985,,
2012-02-24 14:30:00,136.92999,137.2,136.63,136.92999,105539056,,,,,,,,0,76.0564804704987,,
2012-02-27 14:30:00,136.02,137.53,135.8,137.16,145728816,,,,,,,,0,75.63268816753146,,
2012-02-28 14:30:00,137.2,137.72,136.92999,137.55901,129355808,,,,,,,,0,73.86635843287289,,
2012-02-29 14:30:00,137.75999,138.19,136.53999,137.02,185934688,,,,,,,,0,69.75554950728284,,
2012-03-01 14:30:00,137.31,137.99001,136.9312,137.73,145026128,,,,,,,,0,71.05160593905988,,
2012-03-02 14:30:00,137.64,137.82001,137.0,137.312,120638256,,,,,,,,0,68.9435467688329,,
2012-03-05 14:30:00,137.10001,137.2,136.28,136.75,140765008,,,,,,,,0,67.10643325988434,,
2012-03-06 14:30:00,135.35001,135.42999,134.36,134.75,202129808,,,,,,,,0,56.69233590025668,,
2012-03-07 14:30:00,135.06,135.91,134.92999,135.69,143692128,,,,,,,,0,61.46071471543737,,
2012-03-08 14:30:00,136.52,137.32001,136.24001,137.03999,116968816,,,,,,,,0,64.57118133095129,,
2012-03-09 14:30:00,137.3,137.92999,137.13,137.57001,122836752,,,,,,,,0,67.22989816035002,,
2012-03-12 13:30:00,137.55,137.75999,137.09,137.58,104003504,,,,,,,,0,67.43534567995451,,
2012-03-13 13:30:00,138.32001,140.13,138.09,140.062,184090432,,,,,,,,0,69.68469229963463,,
2012-03-14 13:30:00,140.10001,140.44501,139.48,139.91,145163504,,,,,,,,0,68.80265972746318,,
2012-03-15 13:30:00,140.12,140.78,139.75999,140.72,165118432,,,,,,,,0,67.00043958994343,,
2012-03-16 13:30:00,140.36,140.48,140.0,140.3,152893376,,,,,,,,0,65.80565047951916,,
2012-03-19 13:30:00,140.21001,141.28,140.11,140.85001,125291008,,,,,,,,0,66.18935823031129,,
2012-03-20 13:30:00,140.05,140.61,139.64,140.44,121729632,,,,,,,,0,64.01789805223308,,
2012-03-21 13:30:00,140.52,140.64999,139.92,140.21001,122388368,,,,,,,,0,62.90854117816146,,
2012-03-22 13:30:00,139.17999,139.55,138.74001,139.2,135216688,,,,,,,,0,62.87172721251474,,
2012-03-23 13:30:00,139.32001,139.81,138.55,139.64999,120520944,,,,,,,,0,61.75466612012364,,
2012-03-26 13:30:00,140.64999,141.61,140.60001,141.61,120163936,135.61112,,0.04423590041878582,,,,,0,66.01953085231895,,
2012-03-27 13:30:00,141.74001,141.83,141.08,141.17,119868432,135.85772,,0.03910178972530959,,,,,0,66.65151823555371,,
2012-03-28 13:30:00,141.10001,141.32001,139.64,140.47,148562000,136.08032,,0.03225800762373279,,,,,0,61.5981707368262,,
2012-03-29 13:30:00,139.64,140.49339,139.09,140.23,164963632,136.26952,,0.029063579294914883,,,,,0,60.085520993724785,,
2012-03-30 13:30:00,140.92,141.05,140.05,140.81,135486688,136.4565198,,0.031903790353005966,,,,,0,61.15220238009584,,
2012-04-02 13:30:00,140.64,142.21001,140.36,141.84,151741056,136.66252,,0.037885149490877255,,,,,0,64.48376162840569,,
